timestamp,run_id,phase,model,config_hash,dataset,split,seed,epochs,imgsz,batch,num_images,map50,map50_95,ap_D00,ap_D10,ap_D20,ap_D40,precision,recall,f1,latency_ms,fps,param_count,trainable_param_count,train_runtime_sec,eval_runtime_sec,hardware,weights_path,notes
2026-09-10T21:23:49,yolo26_source_eval_on_czech,4,yolo26n,8d3939078f40,czech,all,42,,,,2829,0.1438,0.0508,0.211,0.1862,0.1456,0.0325,0.378,0.1181,0.1799,,,2505360,0,,513.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,Phase 4 zero-shot eval (zero-shot) on czech
2026-09-10T22:01:18,yolo26_source_eval_on_norway,4,yolo26n,8d3939078f40,norway,all,42,,,,8161,0.0554,0.0216,0.096,0.0397,0.08,0.006,0.4072,0.0789,0.1322,,,2505360,0,,2249.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,Phase 4 zero-shot eval (zero-shot) on norway
2026-09-10T22:11:34,yolo26_source_eval_on_us,4,yolo26n,8d3939078f40,us,all,42,,,,4805,0.4013,0.1946,0.547,0.435,0.4937,0.1294,0.6134,0.4351,0.5091,,,2505360,0,,615.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,Phase 4 zero-shot eval (zero-shot) on us
2026-09-10T22:15:20,yolo26_source_eval_on_china_motorbike,4,yolo26n,8d3939078f40,china_motorbike,all,42,,,,1977,0.1952,0.0707,0.1206,0.2676,0.367,0.0255,0.4201,0.1441,0.2146,,,2505360,0,,225.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolo26n_source\weights\best.pt,Phase 4 zero-shot eval (zero-shot) on china_motorbike
2026-09-11T00:33:35,yolov8n_ca_smoke,3b-smoke,yolov8n_ca,e9109dfaef9b,source_subset,test,42,2,640,16,100,0.0073,0.0024,0.0,0.0,0.0291,0.0,0.0,0.0,0.0,56.94,17.56,3018308,0,233.2,9.18,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_smoke\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-21T06:47:25,yolov8n_ca_source,3b,yolov8n_ca,d1896d8a6790,source,test,42,100,640,16,2732,0.4801,0.2092,0.4073,0.4121,0.6468,0.4543,0.6165,0.4626,0.5286,15.09,66.26,3018308,0,4449.6,31.55,x86_64 | CUDA:Tesla T4,experiments/runs/yolov8n_ca_source/weights/best.pt,Phase 3b: YOLOv8n + Coordinate Attention (single insertion, end of backbone)
2026-09-24T17:54:12,yolo_ca_source_eval_on_source,4-smoke,yolov8n_ca,d1896d8a6790,source,test,42,,,,30,0.3964,0.1894,0.4111,0.0,0.8214,0.3529,0.5833,0.3333,0.4242,,,3018308,0,,5.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-24T17:54:15,yolo_ca_source_eval_on_czech,4-smoke,yolov8n_ca,d1896d8a6790,czech,all,42,,,,30,0.1523,0.0487,0.1778,0.1697,0.0118,0.25,0.1667,0.0833,0.1111,,,3018308,0,,3.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-24T17:54:21,yolo_ca_source_eval_on_norway,4-smoke,yolov8n_ca,d1896d8a6790,norway,all,42,,,,30,0.1003,0.0636,0.0153,0.0,0.3857,0.0002,0.375,0.0435,0.0779,,,3018308,0,,6.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-24T17:54:24,yolo_ca_source_eval_on_us,4-smoke,yolov8n_ca,d1896d8a6790,us,all,42,,,,30,0.6435,0.3781,0.6863,0.4634,0.781,0.0,0.4773,0.5833,0.525,,,3018308,0,,3.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-24T17:54:28,yolo_ca_source_eval_on_china_motorbike,4-smoke,yolov8n_ca,d1896d8a6790,china_motorbike,all,42,,,,30,0.1422,0.0391,0.0576,0.1762,0.3143,0.0206,0.2963,0.1081,0.1584,,,3018308,0,,3.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_source\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-09-24T17:58:51,yolo_ca_source_eval_on_source,4,yolov8n_ca,d1896d8a6790,source,test,42,,,,2732,0.4801,0.2092,0.4073,0.4121,0.6468,0.4543,0.6165,0.4626,0.5286,,,3018308,0,,254.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ca_source\weights\best.pt,Phase 4 zero-shot eval (in-domain) on source
